"episode","first","references"
"S01E01","Arya",3
"S01E02","Arya",16
"S01E03","Arya",3
"S01E04","Arya",1
"S01E05","Arya",3
"S01E06","Arya",0
"S01E07","Arya",0
"S01E08","Arya",4
"S01E09","Arya",1
"S01E10","Arya",1
"S02E01","Arya",5
"S02E02","Arya",1
"S02E03","Arya",0
"S02E04","Arya",2
"S02E05","Arya",0
"S02E06","Arya",0
"S02E07","Arya",0
"S02E08","Arya",1
"S02E09","Arya",0
"S02E10","Arya",1
"S03E01","Arya",1
"S03E02","Arya",0
"S03E03","Arya",0
"S03E04","Arya",0
"S03E05","Arya",2
"S03E06","Arya",0
"S03E07","Arya",0
"S03E08","Arya",0
"S03E09","Arya",0
"S03E10","Arya",0
"S04E01","Arya",1
"S04E02","Arya",0
"S04E03","Arya",0
"S04E04","Arya",1
"S04E05","Arya",0
"S04E06","Arya",0
"S04E07","Arya",6
"S04E08","Arya",1
"S04E09","Arya",0
"S04E10","Arya",8
"S05E01","Arya",1
"S05E02","Arya",0
"S05E03","Arya",6
"S05E04","Arya",0
"S05E05","Arya",0
"S05E06","Arya",2
"S05E07","Arya",0
"S05E08","Arya",0
"S05E09","Arya",0
"S05E10","Arya",1
"S06E01","Arya",0
"S06E02","Arya",0
"S06E03","Arya",4
"S06E04","Arya",1
"S06E05","Arya",0
"S06E06","Arya",0
"S06E07","Arya",1
"S06E08","Arya",1
"S06E09","Arya",0
"S06E10","Arya",1
"S07E01","Arya",2
"S07E02","Arya",1
"S07E03","Arya",0
"S07E04","Arya",4
"S07E05","Arya",2
"S07E06","Arya",2
"S07E07","Arya",5
"S01E01","Bran",5
"S01E02","Bran",7
"S01E03","Bran",3
"S01E04","Bran",4
"S01E05","Bran",1
"S01E06","Bran",3
"S01E07","Bran",0
"S01E08","Bran",0
"S01E09","Bran",0
"S01E10","Bran",3
"S02E01","Bran",1
"S02E02","Bran",0
"S02E03","Bran",3
"S02E04","Bran",0
"S02E05","Bran",0
"S02E06","Bran",2
"S02E07","Bran",0
"S02E08","Bran",2
"S02E09","Bran",0
"S02E10","Bran",0
"S03E01","Bran",0
"S03E02","Bran",2
"S03E03","Bran",1
"S03E04","Bran",1
"S03E05","Bran",0
"S03E06","Bran",0
"S03E07","Bran",1
"S03E08","Bran",0
"S03E09","Bran",2
"S03E10","Bran",0
"S04E01","Bran",0
"S04E02","Bran",4
"S04E03","Bran",0
"S04E04","Bran",5
"S04E05","Bran",0
"S04E06","Bran",0
"S04E07","Bran",0
"S04E08","Bran",0
"S04E09","Bran",0
"S04E10","Bran",1
"S05E01","Bran",0
"S05E02","Bran",0
"S05E03","Bran",0
"S05E04","Bran",0
"S05E05","Bran",1
"S05E06","Bran",0
"S05E07","Bran",0
"S05E08","Bran",4
"S05E09","Bran",0
"S05E10","Bran",0
"S06E01","Bran",0
"S06E02","Bran",1
"S06E03","Bran",1
"S06E04","Bran",2
"S06E05","Bran",20
"S06E06","Bran",0
"S06E07","Bran",0
"S06E08","Bran",0
"S06E09","Bran",0
"S06E10","Bran",0
"S07E01","Bran",0
"S07E02","Bran",0
"S07E03","Bran",2
"S07E04","Bran",3
"S07E05","Bran",2
"S07E06","Bran",1
"S07E07","Bran",0
"S01E01","Brienne",0
"S01E02","Brienne",0
"S01E03","Brienne",0
"S01E04","Brienne",0
"S01E05","Brienne",0
"S01E06","Brienne",0
"S01E07","Brienne",0
"S01E08","Brienne",0
"S01E09","Brienne",0
"S01E10","Brienne",0
"S02E01","Brienne",0
"S02E02","Brienne",0
"S02E03","Brienne",7
"S02E04","Brienne",1
"S02E05","Brienne",2
"S02E06","Brienne",0
"S02E07","Brienne",1
"S02E08","Brienne",1
"S02E09","Brienne",0
"S02E10","Brienne",1
"S03E01","Brienne",0
"S03E02","Brienne",0
"S03E03","Brienne",2
"S03E04","Brienne",0
"S03E05","Brienne",0
"S03E06","Brienne",0
"S03E07","Brienne",1
"S03E08","Brienne",0
